floc,floc_description,work_order_id,work_order_basic_finish_date,work_order_desc,activity_type,level
BR200652-91-01,Bridge 9.514km TRACK 1,80113343,2023-07-12,SR_Cab GRASSTREE BEACH ROAD-UP-9.477K,C20,Structure Track
BR200652-91-01,Bridge 9.514km TRACK 1,80112859,2023-07-12,SR_C20-BR-GA-GRASSTREE BEACH RD-UP-9.477,C20,Structure Track
BR200652-91-01,Bridge 9.514km TRACK 1,80113931,2023-09-05,SR_DL-PS BBR-UP-9.477K,C20,Structure Track
BR200652-91-01,Bridge 9.514km TRACK 1,80113878,2023-09-05,SR_C20-BR-GA-GRASSTREE 9.477K,C20,Structure Track
BR200652-91-01,Bridge 9.514km TRACK 1,80114121,2023-09-06,Daly Bay - Praguelands Up C20,C20,Structure Track
BR200652-91-01,Bridge 9.514km TRACK 1,80113901,2023-09-11,SR_DAL-PAS UP TSR Support 9.400-9.650km,C20,Structure Track
BR200652-91-01,Bridge 9.514km TRACK 1,80114122,2023-11-21,Daly Bay - Praguelands Up C20 Follow Up,C20,Structure Track
BR200823-91-01,Bridge 52.570km TRACK 1,80107185,2022-04-01,BBE UP DCP Test BBE Creek 52.540-52.645K,C20,Structure Track
BR200823-91-01,Bridge 52.570km TRACK 1,80107647,2022-05-11,SUPP BBE UP ISO BND 52.540-52.645KM,C20,Structure Track
BR200823-91-01,Bridge 52.570km TRACK 1,80108432,2022-07-10,SUPP HAT-BBE ISO BND 52.540-52.645,C20,Structure Track
BR200823-91-01,Bridge 52.570km TRACK 1,80108433,2022-07-10,BBR Bolingbroke Creek Up PO Sup 52.540km,C20,Structure Track
BR200823-91-01,Bridge 52.570km TRACK 1,80108142,2022-07-15,SR-Bnd BO  52.540-52.645KM.,C20,Structure Track
BR200823-91-01,Bridge 52.570km TRACK 1,80108436,2022-07-15,BBR Bolinbroke Creek UP 52.540-52.645KM.,C20,Structure Track
BR200823-91-01,Bridge 52.570km TRACK 1,80107332,2022-07-15,BBR HAT-BBE UP Bolingbroke Ck 54.540KM,C20,Structure Track
BR200823-91-01,Bridge 52.570km TRACK 1,80108749,2022-07-18,HAT-BBE-UP BBR TSR Support 52.540km,C20,Structure Track
BR200866-91-01,Bridge 191.190km TRACK 1,80108941,2022-08-10,WOT-MNM DCP Tests 191.086KM.,C20,Structure Track
BR200866-91-01,Bridge 191.190km TRACK 1,80108271,2022-12-31,FY23 GA Isaac River Dn DCP Only,C20,Structure Track
